business_name	business_address	business_city	business_state	business_postal_code	business_latitude	business_longitude	business_phone_number	inspection_id	inspection_date	inspection_score	inspection_type	violation_id	violation_description	risk_category
Yummy Sticks	428 11th St	San Francisco	CA	94103				85908_20160618	2017-06-18	81.0	Routine - Unscheduled	85908_20160618_103120	Moderate risk food holding temperature	Moderate Risk
Yummy BBQ Kitchen	683 Broadway St	San Francisco	CA	94133	37.797663	-122.408377		59515_20150512	2017-05-12		Non-inspection site visit			
Olympic Flame Cafe	553 Geary St	San Francisco	CA	94102	37.786803	-122.412467		2104_20160222	2017-02-22		Reinspection/Followup			
Bebebar Juice & Sandwich	3809 18th St	San Francisco	CA	94114			+14155208406	76574_20161109	2017-11-09	100.0	Routine - Unscheduled			
YANK SING RESTAURANT	101 SPEAR St A-16	San Francisco	CA	94105	37.792577	-122.393992		3090_20150625	2017-06-25		Reinspection/Followup			
707 Sutter	707 Sutter St	San Francisco	CA	94109				87285_20161128	2017-11-28	82.0	Routine - Unscheduled	87285_20161128_103142	Unclean nonfood contact surfaces	Low Risk
Vinyl Cafe and Wine Bar	359 DIVISADERO St	San Francisco	CA	94117	37.77282580854	-122.437414		68130_20151008	2017-10-08	83.0	Routine - Unscheduled	68130_20151008_103142	Unclean nonfood contact surfaces	Low Risk
Hashiri	4 Mint Plaza	San Francisco	CA	94103				84770_20170830	2017-08-30	96.0	Routine - Unscheduled	84770_20170830_103149	Wiping cloths not clean or properly stored or inadequate sanitizer	Low Risk
NEW CASTILLITO INC.	2092 MISSION St	San Francisco	CA	94110	37.76356	-122.419582	+14155626971	2447_20151228	2017-12-28	100.0	Routine - Unscheduled			
5 Degree Tea House	2527 SAN BRUNO Ave	San Francisco	CA	94134	37.729753	-122.40447	+14155828233	70685_20171212	2017-12-12	86.0	Routine - Unscheduled	70685_20171212_103119	Inadequate and inaccessible handwashing facilities	Moderate Risk
Thrive Juicery	101 Spear St	San Francisco	CA	94105				88556_20161111	2017-11-11	78.0	Routine - Unscheduled	88556_20161111_103102	Unclean hands or improper use of gloves	High Risk
Kentucky Fried Chicken	200 Duboce St	San Francisco	CA	94103	37.769758	-122.424782	+14155431613	5150_20170918	2017-09-18	86.0	Routine - Unscheduled	5150_20170918_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
Hole in the Wall Pizza	3244 Scott St	San Francisco	CA	94123	37.799664	-122.441015		33247_20160316	2017-03-16	98.0	Routine - Unscheduled	33247_20160316_103145	Improper storage of equipment utensils or linens	Low Risk
CASA LUCAS #3	4555 MISSION St	San Francisco	CA	94112	37.725432	-122.434216		7243_20171128	2017-11-28	82.0	Routine - Unscheduled	7243_20171128_103144	Unapproved or unmaintained equipment or utensils	Low Risk
New Heng Fung Inc	2444 Noriega St	San Francisco	CA	94122			+14155740221	85925_20171114	2017-11-14	79.0	Routine - Unscheduled	85925_20171114_103103	High risk food holding temperature	High Risk
Ghirardelli Chocolate - Main Concourse Level	24 Willie Mays Plaza	San Francisco	CA	94107				69135_20150419	2017-04-19		Routine - Scheduled	69135_20150419_103124	Inadequately cleaned or sanitized food contact surfaces	Moderate Risk
